,Date,Open,High,Low,Price,Volume
397,2017-06-09,821.5,835.0,821.0,833.45,51404
398,2017-06-12,831.5,837.5,830.65,834.6,56189
399,2017-06-13,831.7,845.95,830.75,838.75,45376
400,2017-06-14,837.9,839.8,834.0,835.4,159303
401,2017-06-15,835.4,836.95,828.0,831.0,128667
402,2017-06-16,833.0,836.5,829.15,835.3,119443
403,2017-06-19,834.0,847.75,834.0,844.4,107852
404,2017-06-20,847.0,847.0,841.0,843.9,36582
405,2017-06-21,843.5,851.2,840.25,849.8,56513
406,2017-06-22,848.05,857.8,845.65,848.9,104156
407,2017-06-23,850.0,850.3,837.5,840.0,53431
408,2017-06-27,843.5,847.5,829.25,833.95,75624
409,2017-06-28,831.5,837.45,830.0,833.0,36454
410,2017-06-29,832.5,840.95,826.9,828.2,148410
411,2017-06-30,827.0,830.3,822.0,826.85,49638
412,2017-07-03,827.85,833.7,823.95,829.5,33718
413,2017-07-04,832.4,833.45,825.0,825.85,43225
414,2017-07-05,829.15,829.6,823.0,823.0,36794
415,2017-07-06,826.55,831.7,826.55,827.95,38162
416,2017-07-07,829.5,833.6,829.35,832.5,51930
417,2017-07-10,835.0,840.0,832.5,838.3,842435
418,2017-07-11,840.0,845.0,834.25,840.25,96639
419,2017-07-12,841.5,842.9,833.1,840.6,89112
420,2017-07-13,842.5,845.95,837.5,839.5,42283
421,2017-07-14,840.0,842.0,836.45,840.5,37941
422,2017-07-17,840.5,844.2,837.9,843.9,34906
423,2017-07-18,841.0,844.5,839.35,841.25,27914
424,2017-07-19,842.5,847.75,841.55,846.3,46858
425,2017-07-20,847.5,856.95,844.65,854.05,53189
426,2017-07-21,855.0,857.5,850.5,850.55,62451
427,2017-07-24,856.0,870.1,848.0,867.25,261768
428,2017-07-25,875.0,877.45,866.4,867.6,80802
429,2017-07-26,868.35,877.5,866.85,874.85,120829
430,2017-07-27,877.0,898.9,876.25,893.95,123600
431,2017-07-28,886.0,892.7,880.85,887.95,87176
432,2017-07-31,889.0,895.8,883.75,891.3,68266
433,2017-08-01,891.65,905.0,887.5,897.7,73833
434,2017-08-02,901.0,904.2,892.9,897.3,49619
435,2017-08-03,894.95,895.75,887.35,888.0,41829
436,2017-08-04,887.5,897.75,883.05,893.0,49221
437,2017-08-07,894.0,898.0,892.05,894.5,35417
438,2017-08-08,893.5,898.0,883.0,890.05,48478
439,2017-08-09,883.5,888.35,880.0,882.45,197509
440,2017-08-10,882.45,882.95,877.35,879.85,45571
441,2017-08-11,874.0,878.6,866.4,875.65,57926
442,2017-08-14,876.0,887.2,874.15,877.0,45598
443,2017-08-16,880.5,894.5,875.25,890.5,62811
444,2017-08-17,890.5,890.5,878.5,882.5,35943
445,2017-08-18,877.5,880.0,872.5,876.85,45868
446,2017-08-21,876.85,879.0,870.8,871.95,30427
447,2017-08-22,875.0,876.9,868.75,876.85,25549
448,2017-08-23,876.0,888.95,876.0,884.0,38620
449,2017-08-24,886.5,887.0,880.5,883.55,34669
450,2017-08-28,885.0,885.9,879.15,881.0,32887
451,2017-08-29,881.1,881.1,869.25,873.65,41479
452,2017-08-30,877.0,889.5,875.3,884.8,33245
453,2017-08-31,884.5,890.15,878.8,887.5,83973
454,2017-09-01,888.55,888.55,881.5,882.75,35715
455,2017-09-04,882.5,883.5,875.5,875.5,70690
456,2017-09-05,879.4,882.2,876.0,878.25,42728
457,2017-09-06,871.4,882.5,870.0,881.5,60931
458,2017-09-07,879.5,888.85,879.5,885.3,70463
459,2017-09-08,892.5,895.65,886.05,894.0,58612
460,2017-09-11,897.5,915.0,896.5,911.45,126666
461,2017-09-12,913.95,919.95,909.55,917.05,65457
462,2017-09-13,917.5,924.5,912.5,921.3,83540
463,2017-09-14,923.5,925.1,915.5,921.6,53454
464,2017-09-15,916.35,925.5,916.35,924.65,46988
465,2017-09-18,925.0,931.95,925.0,930.0,62572
466,2017-09-19,931.0,934.0,924.0,925.75,59481
467,2017-09-20,925.5,930.7,922.55,926.9,32233
468,2017-09-21,922.15,923.6,916.0,921.0,54860
469,2017-09-22,919.5,919.5,910.75,912.2,267623
470,2017-09-25,912.0,912.0,896.75,899.45,78196
471,2017-09-26,899.45,899.45,892.5,895.65,122341
472,2017-09-27,900.0,902.55,885.0,887.8,44011
